145.0, {'J10': 0, 'J11': 0, 'J12': -1216.0, 'J13': -222.0, 'cluster3106249630_3106249631_J60_J61_#5more': -456.0}, {'J10': 0, 'J11': 0, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 0, 'J11': 0, 'J12': 23, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
150.0, {'J10': 0, 'J11': -6.5, 'J12': -1461.5, 'J13': -262.0, 'cluster3106249630_3106249631_J60_J61_#5more': -616.5}, {'J10': 0, 'J11': 2, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 0, 'J11': 2, 'J12': 28, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
155.0, {'J10': -1.0, 'J11': 0, 'J12': -1751.5, 'J13': -158.0, 'cluster3106249630_3106249631_J60_J61_#5more': -669.0}, {'J10': 1, 'J11': 0, 'J12': 13, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 1, 'J11': 0, 'J12': 32, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, 
160.0, {'J10': -22.5, 'J11': 0, 'J12': -2090.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -644.0}, {'J10': 4, 'J11': 0, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 5, 'J11': 0, 'J12': 38, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
165.0, {'J10': -13.5, 'J11': -0.5, 'J12': -2196.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -464.5}, {'J10': 1, 'J11': 1, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 1, 'J11': 1, 'J12': 33, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
170.0, {'J10': 0, 'J11': -10.5, 'J12': -2325.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -218.5}, {'J10': 0, 'J11': 1, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 1, 'J12': 27, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, 
175.0, {'J10': -0.5, 'J11': -3.0, 'J12': -2439.5, 'J13': -1.0, 'cluster3106249630_3106249631_J60_J61_#5more': -207.5}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 1, 'J12': 29, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 11}, 
180.0, {'J10': -18.0, 'J11': -22.5, 'J12': -2642.5, 'J13': -17.5, 'cluster3106249630_3106249631_J60_J61_#5more': -325.0}, {'J10': 2, 'J11': 3, 'J12': 14, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 4, 'J11': 4, 'J12': 30, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, 
185.0, {'J10': -36.5, 'J11': -0.5, 'J12': -2916.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -407.5}, {'J10': 4, 'J11': 1, 'J12': 14, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 4, 'J11': 1, 'J12': 32, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 23}, 
190.0, {'J10': -24.0, 'J11': -11.5, 'J12': -3244.5, 'J13': -1.5, 'cluster3106249630_3106249631_J60_J61_#5more': -594.5}, {'J10': 2, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 2, 'J11': 2, 'J12': 35, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, 
195.0, {'J10': -2.0, 'J11': -31.5, 'J12': -3608.5, 'J13': -2.0, 'cluster3106249630_3106249631_J60_J61_#5more': -853.5}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 1, 'J11': 2, 'J12': 41, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
200.0, {'J10': -22.5, 'J11': -51.5, 'J12': -4040.5, 'J13': -12.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1077.0}, {'J10': 4, 'J11': 1, 'J12': 14, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 4, 'J11': 2, 'J12': 50, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, 
205.0, {'J10': -27.0, 'J11': -0.5, 'J12': -4225.5, 'J13': -23.0, 'cluster3106249630_3106249631_J60_J61_#5more': -975.0}, {'J10': 3, 'J11': 1, 'J12': 14, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 3, 'J11': 1, 'J12': 44, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, 
210.0, {'J10': 0, 'J11': -10.5, 'J12': -4601.5, 'J13': -52.5, 'cluster3106249630_3106249631_J60_J61_#5more': -552.5}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 0, 'J11': 1, 'J12': 42, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, 
215.0, {'J10': 0, 'J11': -1.5, 'J12': -4886.0, 'J13': -39.5, 'cluster3106249630_3106249631_J60_J61_#5more': -567.0}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 0, 'J11': 1, 'J12': 41, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, 
220.0, {'J10': -4.0, 'J11': -11.5, 'J12': -5182.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -709.5}, {'J10': 1, 'J11': 1, 'J12': 14, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, {'J10': 1, 'J11': 1, 'J12': 42, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, 
225.0, {'J10': 0, 'J11': -22.5, 'J12': -4414.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -815.0}, {'J10': 0, 'J11': 1, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 2, 'J12': 42, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, 
230.0, {'J10': 0, 'J11': -45.0, 'J12': -3375.0, 'J13': -3.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1090.5}, {'J10': 0, 'J11': 2, 'J12': 10, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 3, 'J12': 42, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, 
235.0, {'J10': 0, 'J11': -15.5, 'J12': -3554.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1408.5}, {'J10': 0, 'J11': 1, 'J12': 10, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 0, 'J11': 2, 'J12': 47, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
240.0, {'J10': 0, 'J11': -13.0, 'J12': -4041.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1684.5}, {'J10': 0, 'J11': 1, 'J12': 10, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 0, 'J11': 1, 'J12': 55, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, 
245.0, {'J10': -2.0, 'J11': -1.5, 'J12': -4504.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1339.0}, {'J10': 1, 'J11': 1, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, {'J10': 1, 'J11': 1, 'J12': 57, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
250.0, {'J10': 0, 'J11': -16.5, 'J12': -5037.0, 'J13': -4.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1048.0}, {'J10': 0, 'J11': 1, 'J12': 12, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 2, 'J12': 61, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, 
255.0, {'J10': 0, 'J11': -38.0, 'J12': -5215.5, 'J13': -23.5, 'cluster3106249630_3106249631_J60_J61_#5more': -743.0}, {'J10': 0, 'J11': 2, 'J12': 12, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 0, 'J11': 3, 'J12': 57, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
