jammed_count,start_edge,end_edge,num_edges,example_id,edges
61,1352158397#0,363511225#2,7,bike0_13,1352158397#0 1352158399 571260883 1355324262 1355324261#0 363511225#1 363511225#2
61,-144226566#1,-4234184#1,10,bike0_2207,-144226566#1 -144226566#0 -144226569#0 1018612470#1 1018612470#2 27294504#0 -27294503#2 -4234184#3 -4234184#2 -4234184#1
60,420039031#0.11,795657258#0,10,bike0_528,420039031#0.11 420039032 27201304#1 1067190735#0 24823745#1 1356542863 161663922#0 161663922#1 161663922#2 795657258#0
59,497259157#2.19,178699979#1,4,bike0_5253,497259157#2.19 -86433474#2 1987379 178699979#1
58,-128079757,-1911242#2,15,bike0_3220,-128079757 128079756#1 128079756#2 128079759#0 1355686495 1075746754#0 1075746753#0 1355686483 237100949#0 237100949#1 237100949#2 36523272#1 -1911242#4 -1911242#3 -1911242#2
56,-330953504,-27226010#2,15,bike0_793,-330953504 -797310635 -897221225#1 237111847#0 237111847#2 1323685801#0 1323685799#1 1323685799#1.16 571034829 1323685800 1323685809 496990639#0 1323685816 -27226010#3 -27226010#2
55,-237100949#1,1075746756#1,6,bike0_21,-237100949#1 -237100949#0 -1355686483 1355686472#1 1075746757#0 1075746756#1
54,300626108#3,27199041#1,18,bike0_2537,300626108#3 -300626108#3 -300626108#2 -364393929#1 -364393929#0 -266942151 -27199045#1 E20 -1081679668#2 -1081679668#1 -266942153#3 -266942153#1 266942152#0 266942152#2 266942152#4 266942152#5 27199041#0 27199041#1
52,-127497088#20,1323685816,10,bike0_431,-127497088#20 -127497088#0 -451935263 1323685797#0.6 1323685796#0 571034829 1323685800 1323685809 496990639#0 1323685816
52,477771140#0,-161663922#0,9,bike0_8785,477771140#0 968213633 -1931863#1 30476997#3 E27 -161663922#3 -161663922#2 -161663922#1 -161663922#0
51,497259157#2,-128007875#0,5,bike0_2270,497259157#2 497259157#2.19 -86433474#2 1987379 -128007875#0
49,-86440008#2,-1694123#2,18,bike0_142,-86440008#2 -86440008#1 -86440008#0 -128007875#2 178699979#1 -178699979#1 128007875#2 86440008#0 86440008#1 86440008#2 86440008#3 86440008#4 86440008#5 86440008#7 1075746755#0 -162053484#1 -576383494 -1694123#2
48,-234571649#0,26165232#1,17,bike0_24,-234571649#0 87325166#0 234577460#1 234577460#2 229881046#0 363647271#2 E16 E16.174 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E1 26165232#0 26165232#1
47,-127497088#20,-27226010#2,12,bike0_9,-127497088#20 -127497088#0 -451935263 1323685797#0.6 1323685796#0 571034829 1323685800 1323685809 496990639#0 1323685816 -27226010#3 -27226010#2
47,-E14,86440008#4,14,bike0_130,-E14 330748694#11 330748694#12 -27360355 1163086345#0 1124217846#1 497264742#1 128007875#0 128007875#2 86440008#0 86440008#1 86440008#2 86440008#3 86440008#4
46,537400024#1,127497088#2,13,bike0_613,537400024#1 1323685812.0 1323685820#0 654282338#1 654282338#2 654282338#3 1323685793 1323685793.43 363511226#2 1323685795#1 451935263 127497088#0 127497088#2
44,-596202509,36244295#1,12,bike0_4925,-596202509 1718351#0 1718351#1 1718351#2 1718351#3 1718351#4 1356284884 27280403#0 27203880#1 776860860 1082164221 36244295#1
43,-1137751355#0,169212595,15,bike0_1940,-1137751355#0 -8123073#7 144381947 266942152#5 777233097 -E5 1018614217#1.62 497264736 497264736.104 262671471#2 8121740#0 497264739#0 497262589#1 -169212597 169212595
