135.0, {'J10': 0, 'J11': -1225.5, 'J12': -1166.0, 'J13': -2665.5, 'cluster3106249630_3106249631_J60_J61_#5more': -237.5}, {'J10': 0, 'J11': 7, 'J12': 11, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 10, 'J12': 20, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, 
140.0, {'J10': -4.0, 'J11': -1327.0, 'J12': -1373.0, 'J13': -2925.5, 'cluster3106249630_3106249631_J60_J61_#5more': -131.0}, {'J10': 1, 'J11': 8, 'J12': 12, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 11, 'J12': 23, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
145.0, {'J10': -2.5, 'J11': -1446.5, 'J12': -1624.0, 'J13': -3186.5, 'cluster3106249630_3106249631_J60_J61_#5more': -216.5}, {'J10': 1, 'J11': 9, 'J12': 12, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 13, 'J12': 30, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, 
150.0, {'J10': 0, 'J11': -1576.5, 'J12': -1924.0, 'J13': -2287.5, 'cluster3106249630_3106249631_J60_J61_#5more': -334.0}, {'J10': 0, 'J11': 9, 'J12': 15, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 0, 'J11': 13, 'J12': 34, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
155.0, {'J10': 0, 'J11': -1708.0, 'J12': -2166.5, 'J13': -2169.0, 'cluster3106249630_3106249631_J60_J61_#5more': -411.0}, {'J10': 0, 'J11': 10, 'J12': 16, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 0, 'J11': 14, 'J12': 34, 'J13': 19, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
160.0, {'J10': 0, 'J11': -1848.0, 'J12': -1995.0, 'J13': -2359.0, 'cluster3106249630_3106249631_J60_J61_#5more': -506.0}, {'J10': 0, 'J11': 10, 'J12': 18, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 0, 'J11': 14, 'J12': 33, 'J13': 19, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, 
165.0, {'J10': 0, 'J11': -1989.5, 'J12': -2145.0, 'J13': -2561.0, 'cluster3106249630_3106249631_J60_J61_#5more': -679.5}, {'J10': 0, 'J11': 10, 'J12': 18, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 0, 'J11': 15, 'J12': 33, 'J13': 23, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
170.0, {'J10': 0, 'J11': -2139.5, 'J12': -1987.0, 'J13': -2797.5, 'cluster3106249630_3106249631_J60_J61_#5more': -884.5}, {'J10': 0, 'J11': 10, 'J12': 17, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 0, 'J11': 15, 'J12': 29, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, 
175.0, {'J10': -1.0, 'J11': -2292.0, 'J12': -1854.0, 'J13': -3047.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1141.0}, {'J10': 1, 'J11': 11, 'J12': 15, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 1, 'J11': 16, 'J12': 28, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
180.0, {'J10': -2.0, 'J11': -2452.0, 'J12': -2145.5, 'J13': -3301.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1441.0}, {'J10': 1, 'J11': 11, 'J12': 15, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 1, 'J11': 16, 'J12': 33, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 32}, 
185.0, {'J10': 0, 'J11': -2616.0, 'J12': -2493.5, 'J13': -3570.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1767.5}, {'J10': 0, 'J11': 11, 'J12': 15, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, {'J10': 0, 'J11': 17, 'J12': 40, 'J13': 29, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
190.0, {'J10': 0, 'J11': -2790.0, 'J12': -2717.0, 'J13': -3865.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2121.0}, {'J10': 0, 'J11': 12, 'J12': 16, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, {'J10': 0, 'J11': 18, 'J12': 40, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, 
195.0, {'J10': 0, 'J11': -2970.0, 'J12': -3029.5, 'J13': -4175.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2490.5}, {'J10': 0, 'J11': 12, 'J12': 16, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, {'J10': 0, 'J11': 18, 'J12': 41, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
200.0, {'J10': 0, 'J11': -3155.0, 'J12': -3420.5, 'J13': -4490.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2900.0}, {'J10': 0, 'J11': 12, 'J12': 17, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, {'J10': 0, 'J11': 19, 'J12': 45, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, 
205.0, {'J10': -5.0, 'J11': -3352.5, 'J12': -3876.0, 'J13': -4823.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3336.5}, {'J10': 1, 'J11': 12, 'J12': 19, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, {'J10': 1, 'J11': 21, 'J12': 50, 'J13': 37, 'cluster3106249630_3106249631_J60_J61_#5more': 46}, 
210.0, {'J10': 0, 'J11': -3562.5, 'J12': -4161.0, 'J13': -5193.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3808.0}, {'J10': 0, 'J11': 12, 'J12': 19, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, {'J10': 0, 'J11': 21, 'J12': 50, 'J13': 37, 'cluster3106249630_3106249631_J60_J61_#5more': 50}, 
215.0, {'J10': 0, 'J11': -3772.5, 'J12': -4419.0, 'J13': -4256.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4130.0}, {'J10': 0, 'J11': 12, 'J12': 19, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, {'J10': 0, 'J11': 21, 'J12': 46, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 52}, 
220.0, {'J10': 0, 'J11': -3984.0, 'J12': -4556.0, 'J13': -4576.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4565.0}, {'J10': 0, 'J11': 13, 'J12': 19, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, {'J10': 0, 'J11': 22, 'J12': 43, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 54}, 
225.0, {'J10': 0, 'J11': -4205.0, 'J12': -4987.5, 'J13': -4896.0, 'cluster3106249630_3106249631_J60_J61_#5more': -5115.0}, {'J10': 0, 'J11': 13, 'J12': 19, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 32}, {'J10': 0, 'J11': 23, 'J12': 44, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
230.0, {'J10': 0, 'J11': -4437.0, 'J12': -5401.5, 'J13': -5216.0, 'cluster3106249630_3106249631_J60_J61_#5more': -5582.0}, {'J10': 0, 'J11': 14, 'J12': 20, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 32}, {'J10': 0, 'J11': 25, 'J12': 50, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 64}, 
235.0, {'J10': 0, 'J11': -4687.0, 'J12': -5723.5, 'J13': -5540.0, 'cluster3106249630_3106249631_J60_J61_#5more': -6226.5}, {'J10': 0, 'J11': 14, 'J12': 20, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, {'J10': 0, 'J11': 25, 'J12': 46, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 66}, 
