145.0, {'J10': 0, 'J11': -23.5, 'J12': -1429.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -607.5}, {'J10': 0, 'J11': 1, 'J12': 10, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 0, 'J11': 2, 'J12': 31, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, 
150.0, {'J10': 0, 'J11': -16.0, 'J12': -1661.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -796.5}, {'J10': 0, 'J11': 2, 'J12': 11, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 0, 'J11': 3, 'J12': 35, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
155.0, {'J10': -2.0, 'J11': 0, 'J12': -2026.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -838.5}, {'J10': 1, 'J11': 0, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 1, 'J11': 0, 'J12': 41, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
160.0, {'J10': -17.5, 'J11': 0, 'J12': -2448.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -987.0}, {'J10': 2, 'J11': 0, 'J12': 14, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 3, 'J11': 0, 'J12': 44, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
165.0, {'J10': 0, 'J11': -1.0, 'J12': -2220.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -683.0}, {'J10': 0, 'J11': 1, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 1, 'J12': 36, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
170.0, {'J10': 0, 'J11': -11.0, 'J12': -2039.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -359.0}, {'J10': 0, 'J11': 1, 'J12': 13, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 0, 'J11': 1, 'J12': 32, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
175.0, {'J10': -1.5, 'J11': 0, 'J12': -2161.0, 'J13': -1.0, 'cluster3106249630_3106249631_J60_J61_#5more': -356.5}, {'J10': 1, 'J11': 0, 'J12': 13, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 2, 'J11': 0, 'J12': 31, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, 
180.0, {'J10': -24.0, 'J11': -11.0, 'J12': -2315.5, 'J13': -16.5, 'cluster3106249630_3106249631_J60_J61_#5more': -501.5}, {'J10': 2, 'J11': 3, 'J12': 13, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 3, 'J11': 4, 'J12': 30, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, 
185.0, {'J10': -37.5, 'J11': -43.5, 'J12': -2328.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -662.5}, {'J10': 4, 'J11': 4, 'J12': 11, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 4, 'J11': 5, 'J12': 30, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, 
190.0, {'J10': -25.0, 'J11': -78.5, 'J12': -2649.5, 'J13': -1.0, 'cluster3106249630_3106249631_J60_J61_#5more': -895.0}, {'J10': 3, 'J11': 5, 'J12': 11, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 3, 'J11': 7, 'J12': 39, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
195.0, {'J10': -56.0, 'J11': -83.0, 'J12': -3053.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1191.5}, {'J10': 4, 'J11': 3, 'J12': 11, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, {'J10': 4, 'J11': 5, 'J12': 45, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, 
200.0, {'J10': -100.5, 'J11': -55.5, 'J12': -3528.0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -1508.5}, {'J10': 6, 'J11': 1, 'J12': 14, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, {'J10': 7, 'J11': 2, 'J12': 52, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, 
205.0, {'J10': -76.0, 'J11': -1.5, 'J12': -3563.0, 'J13': -5.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1321.5}, {'J10': 4, 'J11': 1, 'J12': 14, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, {'J10': 4, 'J11': 1, 'J12': 48, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 27}, 
210.0, {'J10': 0, 'J11': -16.0, 'J12': -3633.0, 'J13': -29.0, 'cluster3106249630_3106249631_J60_J61_#5more': -889.5}, {'J10': 0, 'J11': 1, 'J12': 14, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 2, 'J12': 44, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, 
