700.0, {'J01': -479.6, 'top_mgr': 1}, {'J01': 24}, {'J01': 55}, 
705.0, {'J01': -472.79999999999995, 'top_mgr': 11}, {'J01': 20}, {'J01': 44}, 
710.0, {'J01': -415.79999999999995, 'top_mgr': 6}, {'J01': 20}, {'J01': 39}, 
715.0, {'J01': -400.5999999999999, 'top_mgr': 3}, {'J01': 20}, {'J01': 40}, 
720.0, {'J01': -412.59999999999997, 'top_mgr': 2}, {'J01': 20}, {'J01': 44}, 
725.0, {'J01': -450.19999999999993, 'top_mgr': 0}, {'J01': 20}, {'J01': 48}, 
730.0, {'J01': -448.4, 'top_mgr': 3}, {'J01': 20}, {'J01': 47}, 
735.0, {'J01': -489.59999999999997, 'top_mgr': 1}, {'J01': 20}, {'J01': 47}, 
740.0, {'J01': -515.8000000000001, 'top_mgr': 2}, {'J01': 20}, {'J01': 47}, 
745.0, {'J01': -566.0, 'top_mgr': 0}, {'J01': 22}, {'J01': 55}, 
750.0, {'J01': -605.2, 'top_mgr': 6}, {'J01': 20}, {'J01': 50}, 
755.0, {'J01': -507.19999999999993, 'top_mgr': 11}, {'J01': 18}, {'J01': 41}, 
760.0, {'J01': -436.19999999999993, 'top_mgr': 8}, {'J01': 16}, {'J01': 37}, 
765.0, {'J01': -444.59999999999997, 'top_mgr': 2}, {'J01': 16}, {'J01': 39}, 
770.0, {'J01': -477.4, 'top_mgr': 4}, {'J01': 16}, {'J01': 38}, 
775.0, {'J01': -520.0, 'top_mgr': 3}, {'J01': 15}, {'J01': 41}, 
780.0, {'J01': -512.8, 'top_mgr': 2}, {'J01': 15}, {'J01': 47}, 
785.0, {'J01': -541.6, 'top_mgr': 1}, {'J01': 15}, {'J01': 47}, 
790.0, {'J01': -571.1999999999999, 'top_mgr': 2}, {'J01': 15}, {'J01': 46}, 
795.0, {'J01': -514.5999999999999, 'top_mgr': 7}, {'J01': 13}, {'J01': 41}, 
800.0, {'J01': -433.20000000000005, 'top_mgr': 13}, {'J01': 10}, {'J01': 29}, 
805.0, {'J01': -462.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 29}, 
810.0, {'J01': -487.8, 'top_mgr': 1}, {'J01': 9}, {'J01': 38}, 
815.0, {'J01': -451.4000000000001, 'top_mgr': 5}, {'J01': 10}, {'J01': 40}, 
820.0, {'J01': -457.20000000000005, 'top_mgr': 5}, {'J01': 12}, {'J01': 39}, 
825.0, {'J01': -494.6, 'top_mgr': 1}, {'J01': 13}, {'J01': 40}, 
830.0, {'J01': -485.2, 'top_mgr': 4}, {'J01': 13}, {'J01': 40}, 
835.0, {'J01': -526.2, 'top_mgr': 1}, {'J01': 15}, {'J01': 43}, 
840.0, {'J01': -573.2, 'top_mgr': 0}, {'J01': 15}, {'J01': 46}, 
845.0, {'J01': -593.0000000000001, 'top_mgr': 3}, {'J01': 15}, {'J01': 44}, 
850.0, {'J01': -566.8000000000001, 'top_mgr': 6}, {'J01': 14}, {'J01': 42}, 
855.0, {'J01': -606.2, 'top_mgr': 1}, {'J01': 14}, {'J01': 44}, 
860.0, {'J01': -643.2, 'top_mgr': 1}, {'J01': 14}, {'J01': 45}, 
865.0, {'J01': -494.0, 'top_mgr': 7}, {'J01': 14}, {'J01': 43}, 
870.0, {'J01': -482.59999999999997, 'top_mgr': 2}, {'J01': 15}, {'J01': 43}, 
875.0, {'J01': -509.3999999999999, 'top_mgr': 3}, {'J01': 15}, {'J01': 43}, 
880.0, {'J01': -542.0, 'top_mgr': 1}, {'J01': 16}, {'J01': 47}, 
885.0, {'J01': -484.7999999999999, 'top_mgr': 7}, {'J01': 17}, {'J01': 44}, 
890.0, {'J01': -516.4, 'top_mgr': 4}, {'J01': 14}, {'J01': 42}, 
895.0, {'J01': -482.0, 'top_mgr': 8}, {'J01': 12}, {'J01': 34}, 
900.0, {'J01': -422.59999999999997, 'top_mgr': 9}, {'J01': 11}, {'J01': 26}, 
905.0, {'J01': -320.0, 'top_mgr': 11}, {'J01': 10}, {'J01': 21}, 
910.0, {'J01': -211.00000000000003, 'top_mgr': 10}, {'J01': 7}, {'J01': 19}, 
915.0, {'J01': -237.60000000000002, 'top_mgr': 2}, {'J01': 8}, {'J01': 28}, 
920.0, {'J01': -287.40000000000003, 'top_mgr': 0}, {'J01': 10}, {'J01': 37}, 
925.0, {'J01': -340.0, 'top_mgr': 0}, {'J01': 11}, {'J01': 44}, 
930.0, {'J01': -298.2, 'top_mgr': 3}, {'J01': 11}, {'J01': 44}, 
935.0, {'J01': -331.20000000000005, 'top_mgr': 2}, {'J01': 11}, {'J01': 45}, 
940.0, {'J01': -371.20000000000005, 'top_mgr': 0}, {'J01': 11}, {'J01': 45}, 
945.0, {'J01': -349.20000000000005, 'top_mgr': 10}, {'J01': 9}, {'J01': 35}, 
950.0, {'J01': -281.00000000000006, 'top_mgr': 12}, {'J01': 8}, {'J01': 25}, 
955.0, {'J01': -252.00000000000003, 'top_mgr': 10}, {'J01': 6}, {'J01': 21}, 
960.0, {'J01': -299.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 28}, 
965.0, {'J01': -361.6000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 44}, 
970.0, {'J01': -356.40000000000003, 'top_mgr': 5}, {'J01': 11}, {'J01': 42}, 
975.0, {'J01': -327.20000000000005, 'top_mgr': 3}, {'J01': 11}, {'J01': 42}, 
980.0, {'J01': -357.8, 'top_mgr': 4}, {'J01': 11}, {'J01': 41}, 
985.0, {'J01': -366.40000000000003, 'top_mgr': 5}, {'J01': 12}, {'J01': 41}, 
990.0, {'J01': -400.6, 'top_mgr': 4}, {'J01': 12}, {'J01': 44}, 
995.0, {'J01': -447.2, 'top_mgr': 1}, {'J01': 12}, {'J01': 49}, 
