445.0, {'J01': -757.2000000000002, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
450.0, {'J01': -508.8, 'top_mgr': 9}, {'J01': 12}, {'J01': 40}, 
455.0, {'J01': -246.79999999999998, 'top_mgr': 19}, {'J01': 7}, {'J01': 21}, 
460.0, {'J01': -253.99999999999997, 'top_mgr': 6}, {'J01': 5}, {'J01': 20}, 
465.0, {'J01': -297.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 27}, 
470.0, {'J01': -339.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
475.0, {'J01': -381.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 38}, 
480.0, {'J01': -354.2, 'top_mgr': 8}, {'J01': 6}, {'J01': 32}, 
485.0, {'J01': -232.6, 'top_mgr': 13}, {'J01': 5}, {'J01': 20}, 
490.0, {'J01': -269.4, 'top_mgr': 0}, {'J01': 5}, {'J01': 24}, 
495.0, {'J01': -314.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
500.0, {'J01': -354.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 37}, 
505.0, {'J01': -299.79999999999995, 'top_mgr': 2}, {'J01': 7}, {'J01': 36}, 
510.0, {'J01': -244.20000000000002, 'top_mgr': 5}, {'J01': 7}, {'J01': 34}, 
515.0, {'J01': -272.2, 'top_mgr': 4}, {'J01': 7}, {'J01': 34}, 
520.0, {'J01': -299.8, 'top_mgr': 3}, {'J01': 7}, {'J01': 36}, 
525.0, {'J01': -291.40000000000003, 'top_mgr': 7}, {'J01': 7}, {'J01': 35}, 
530.0, {'J01': -301.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
535.0, {'J01': -352.6000000000001, 'top_mgr': 1}, {'J01': 8}, {'J01': 44}, 
540.0, {'J01': -393.6, 'top_mgr': 2}, {'J01': 9}, {'J01': 47}, 
545.0, {'J01': -443.2, 'top_mgr': 0}, {'J01': 9}, {'J01': 48}, 
550.0, {'J01': -395.00000000000006, 'top_mgr': 8}, {'J01': 9}, {'J01': 40}, 
555.0, {'J01': -425.00000000000006, 'top_mgr': 4}, {'J01': 9}, {'J01': 36}, 
560.0, {'J01': -462.40000000000003, 'top_mgr': 1}, {'J01': 9}, {'J01': 39}, 
565.0, {'J01': -468.79999999999995, 'top_mgr': 8}, {'J01': 7}, {'J01': 33}, 
570.0, {'J01': -399.00000000000006, 'top_mgr': 11}, {'J01': 5}, {'J01': 24}, 
575.0, {'J01': -349.00000000000006, 'top_mgr': 5}, {'J01': 4}, {'J01': 25}, 
580.0, {'J01': -390.00000000000006, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
585.0, {'J01': -429.00000000000006, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
590.0, {'J01': -466.00000000000006, 'top_mgr': 0}, {'J01': 7}, {'J01': 39}, 
595.0, {'J01': -482.8, 'top_mgr': 4}, {'J01': 7}, {'J01': 36}, 
600.0, {'J01': -433.6000000000001, 'top_mgr': 5}, {'J01': 7}, {'J01': 32}, 
605.0, {'J01': -451.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 36}, 
610.0, {'J01': -493.6000000000001, 'top_mgr': 0}, {'J01': 9}, {'J01': 44}, 
615.0, {'J01': -539.6, 'top_mgr': 0}, {'J01': 9}, {'J01': 46}, 
620.0, {'J01': -555.8000000000001, 'top_mgr': 3}, {'J01': 9}, {'J01': 44}, 
625.0, {'J01': -547.6, 'top_mgr': 3}, {'J01': 10}, {'J01': 44}, 
630.0, {'J01': -586.0000000000001, 'top_mgr': 4}, {'J01': 10}, {'J01': 44}, 
635.0, {'J01': -639.2000000000002, 'top_mgr': 2}, {'J01': 12}, {'J01': 50}, 
640.0, {'J01': -671.6, 'top_mgr': 1}, {'J01': 13}, {'J01': 51}, 
645.0, {'J01': -688.5999999999999, 'top_mgr': 3}, {'J01': 13}, {'J01': 48}, 
650.0, {'J01': -620.8000000000001, 'top_mgr': 7}, {'J01': 13}, {'J01': 42}, 
655.0, {'J01': -657.1999999999999, 'top_mgr': 0}, {'J01': 13}, {'J01': 44}, 
660.0, {'J01': -688.0, 'top_mgr': 4}, {'J01': 16}, {'J01': 46}, 
665.0, {'J01': -723.0000000000001, 'top_mgr': 2}, {'J01': 17}, {'J01': 49}, 
670.0, {'J01': -692.0, 'top_mgr': 5}, {'J01': 17}, {'J01': 47}, 
675.0, {'J01': -738.2, 'top_mgr': 0}, {'J01': 18}, {'J01': 53}, 
680.0, {'J01': -734.6, 'top_mgr': 4}, {'J01': 19}, {'J01': 53}, 
685.0, {'J01': -779.1999999999999, 'top_mgr': 0}, {'J01': 19}, {'J01': 57}, 
690.0, {'J01': -823.1999999999999, 'top_mgr': 0}, {'J01': 19}, {'J01': 57}, 
695.0, {'J01': -812.1999999999999, 'top_mgr': 1}, {'J01': 19}, {'J01': 56}, 
700.0, {'J01': -677.5999999999999, 'top_mgr': 14}, {'J01': 16}, {'J01': 43}, 
705.0, {'J01': -703.8000000000001, 'top_mgr': 1}, {'J01': 16}, {'J01': 42}, 
710.0, {'J01': -747.8000000000001, 'top_mgr': 0}, {'J01': 16}, {'J01': 46}, 
715.0, {'J01': -791.8000000000001, 'top_mgr': 0}, {'J01': 16}, {'J01': 50}, 
720.0, {'J01': -833.8000000000001, 'top_mgr': 0}, {'J01': 18}, {'J01': 52}, 
725.0, {'J01': -874.8000000000001, 'top_mgr': 0}, {'J01': 19}, {'J01': 53}, 
730.0, {'J01': -914.8000000000001, 'top_mgr': 0}, {'J01': 19}, {'J01': 53}, 
735.0, {'J01': -805.0, 'top_mgr': 7}, {'J01': 17}, {'J01': 47}, 
740.0, {'J01': -757.6, 'top_mgr': 6}, {'J01': 16}, {'J01': 42}, 
745.0, {'J01': -801.6, 'top_mgr': 0}, {'J01': 16}, {'J01': 46}, 
750.0, {'J01': -761.2000000000002, 'top_mgr': 4}, {'J01': 16}, {'J01': 48}, 
