135.0, {'J10': 0, 'J11': -1233.5, 'J12': -2070.5, 'J13': -2957.5, 'cluster3106249630_3106249631_J60_J61_#5more': -6131.0}, {'J10': 0, 'J11': 8, 'J12': 15, 'J13': 16, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, {'J10': 0, 'J11': 11, 'J12': 30, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 46}, 
140.0, {'J10': 0, 'J11': -1344.0, 'J12': -1709.0, 'J13': -2432.5, 'cluster3106249630_3106249631_J60_J61_#5more': -6592.5}, {'J10': 0, 'J11': 9, 'J12': 14, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, {'J10': 0, 'J11': 12, 'J12': 27, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 47}, 
145.0, {'J10': 0, 'J11': -1465.5, 'J12': -1985.0, 'J13': -1911.0, 'cluster3106249630_3106249631_J60_J61_#5more': -6877.5}, {'J10': 0, 'J11': 9, 'J12': 14, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, {'J10': 0, 'J11': 13, 'J12': 29, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 49}, 
150.0, {'J10': 0, 'J11': -1595.5, 'J12': -1825.0, 'J13': -2091.0, 'cluster3106249630_3106249631_J60_J61_#5more': -7169.0}, {'J10': 0, 'J11': 9, 'J12': 12, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 34}, {'J10': 0, 'J11': 13, 'J12': 27, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 49}, 
155.0, {'J10': 0, 'J11': -1728.0, 'J12': -2028.0, 'J13': -2278.5, 'cluster3106249630_3106249631_J60_J61_#5more': -7556.0}, {'J10': 0, 'J11': 10, 'J12': 12, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 34}, {'J10': 0, 'J11': 14, 'J12': 28, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 49}, 
160.0, {'J10': 0, 'J11': -1869.0, 'J12': -2273.0, 'J13': -2492.5, 'cluster3106249630_3106249631_J60_J61_#5more': -8054.5}, {'J10': 0, 'J11': 10, 'J12': 12, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 34}, {'J10': 0, 'J11': 15, 'J12': 34, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
165.0, {'J10': 0, 'J11': -2019.0, 'J12': -2566.5, 'J13': -2722.5, 'cluster3106249630_3106249631_J60_J61_#5more': -8595.5}, {'J10': 0, 'J11': 10, 'J12': 17, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 15, 'J12': 42, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
170.0, {'J10': 0, 'J11': -2169.0, 'J12': -2754.0, 'J13': -2972.5, 'cluster3106249630_3106249631_J60_J61_#5more': -9097.5}, {'J10': 0, 'J11': 10, 'J12': 19, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 15, 'J12': 40, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 59}, 
175.0, {'J10': -2.0, 'J11': -2321.0, 'J12': -3092.5, 'J13': -3231.5, 'cluster3106249630_3106249631_J60_J61_#5more': -9543.0}, {'J10': 1, 'J11': 11, 'J12': 19, 'J13': 19, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 16, 'J12': 40, 'J13': 29, 'cluster3106249630_3106249631_J60_J61_#5more': 54}, 
180.0, {'J10': -12.0, 'J11': -2481.0, 'J12': -3512.5, 'J13': -3524.5, 'cluster3106249630_3106249631_J60_J61_#5more': -10001.5}, {'J10': 1, 'J11': 11, 'J12': 20, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 16, 'J12': 47, 'J13': 30, 'cluster3106249630_3106249631_J60_J61_#5more': 52}, 
185.0, {'J10': -22.0, 'J11': -2645.0, 'J12': -3994.5, 'J13': -3828.5, 'cluster3106249630_3106249631_J60_J61_#5more': -10523.0}, {'J10': 1, 'J11': 11, 'J12': 20, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 17, 'J12': 51, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
190.0, {'J10': -32.0, 'J11': -2819.0, 'J12': -4322.5, 'J13': -4139.5, 'cluster3106249630_3106249631_J60_J61_#5more': -11062.0}, {'J10': 1, 'J11': 12, 'J12': 20, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 18, 'J12': 52, 'J13': 32, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
195.0, {'J10': -42.0, 'J11': -3000.0, 'J12': -4762.5, 'J13': -4460.5, 'cluster3106249630_3106249631_J60_J61_#5more': -11614.0}, {'J10': 1, 'J11': 12, 'J12': 21, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 19, 'J12': 51, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
200.0, {'J10': -4.0, 'J11': -3190.0, 'J12': -5058.5, 'J13': -4795.0, 'cluster3106249630_3106249631_J60_J61_#5more': -12092.5}, {'J10': 1, 'J11': 12, 'J12': 21, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 2, 'J11': 19, 'J12': 50, 'J13': 35, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
205.0, {'J10': -14.5, 'J11': -3384.0, 'J12': -5371.0, 'J13': -4126.5, 'cluster3106249630_3106249631_J60_J61_#5more': -12620.5}, {'J10': 2, 'J11': 12, 'J12': 21, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 2, 'J11': 21, 'J12': 52, 'J13': 34, 'cluster3106249630_3106249631_J60_J61_#5more': 54}, 
210.0, {'J10': 0, 'J11': -3594.0, 'J12': -5749.5, 'J13': -3613.0, 'cluster3106249630_3106249631_J60_J61_#5more': -13109.0}, {'J10': 0, 'J11': 12, 'J12': 21, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 21, 'J12': 48, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
215.0, {'J10': 0, 'J11': -3804.0, 'J12': -6178.5, 'J13': -3923.0, 'cluster3106249630_3106249631_J60_J61_#5more': -13639.0}, {'J10': 0, 'J11': 12, 'J12': 21, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 21, 'J12': 47, 'J13': 31, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
220.0, {'J10': 0, 'J11': -4017.5, 'J12': -6622.0, 'J13': -4235.5, 'cluster3106249630_3106249631_J60_J61_#5more': -14000.5}, {'J10': 0, 'J11': 13, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 22, 'J12': 50, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 52}, 
225.0, {'J10': 0, 'J11': -4237.5, 'J12': -7133.0, 'J13': -4565.5, 'cluster3106249630_3106249631_J60_J61_#5more': -14429.5}, {'J10': 0, 'J11': 13, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 22, 'J12': 55, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
230.0, {'J10': 0, 'J11': -4458.0, 'J12': -7632.5, 'J13': -4895.5, 'cluster3106249630_3106249631_J60_J61_#5more': -14971.0}, {'J10': 0, 'J11': 14, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 23, 'J12': 55, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
235.0, {'J10': 0, 'J11': -4690.5, 'J12': -7981.5, 'J13': -5225.5, 'cluster3106249630_3106249631_J60_J61_#5more': -15450.0}, {'J10': 0, 'J11': 14, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 24, 'J12': 54, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 57}, 
240.0, {'J10': -1.0, 'J11': -4935.5, 'J12': -8512.5, 'J13': -5555.5, 'cluster3106249630_3106249631_J60_J61_#5more': -15935.0}, {'J10': 1, 'J11': 14, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 25, 'J12': 60, 'J13': 33, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
245.0, {'J10': -11.0, 'J11': -5185.5, 'J12': -8893.5, 'J13': -5894.0, 'cluster3106249630_3106249631_J60_J61_#5more': -16385.0}, {'J10': 1, 'J11': 14, 'J12': 22, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 25, 'J12': 55, 'J13': 36, 'cluster3106249630_3106249631_J60_J61_#5more': 53}, 
250.0, {'J10': -21.0, 'J11': -5435.5, 'J12': -9219.5, 'J13': -6257.5, 'cluster3106249630_3106249631_J60_J61_#5more': -16918.5}, {'J10': 1, 'J11': 14, 'J12': 22, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 25, 'J12': 50, 'J13': 37, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
255.0, {'J10': -31.0, 'J11': -5685.5, 'J12': -9592.5, 'J13': -6629.0, 'cluster3106249630_3106249631_J60_J61_#5more': -17468.5}, {'J10': 1, 'J11': 14, 'J12': 22, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 25, 'J12': 49, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 55}, 
260.0, {'J10': -41.0, 'J11': -5937.0, 'J12': -9472.5, 'J13': -7013.5, 'cluster3106249630_3106249631_J60_J61_#5more': -18021.0}, {'J10': 1, 'J11': 14, 'J12': 22, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 1, 'J11': 26, 'J12': 50, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
265.0, {'J10': 0, 'J11': -6203.5, 'J12': -9972.5, 'J13': -7403.5, 'cluster3106249630_3106249631_J60_J61_#5more': -18581.0}, {'J10': 0, 'J11': 14, 'J12': 22, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 28, 'J12': 50, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
270.0, {'J10': 0, 'J11': -6483.5, 'J12': -9140.0, 'J13': -6513.0, 'cluster3106249630_3106249631_J60_J61_#5more': -19141.0}, {'J10': 0, 'J11': 14, 'J12': 20, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, {'J10': 0, 'J11': 28, 'J12': 45, 'J13': 35, 'cluster3106249630_3106249631_J60_J61_#5more': 56}, 
