540.0, {'J01': -556.8, 'top_mgr': 8}, {'J01': 6}, {'J01': 35}, 
545.0, {'J01': -506.8, 'top_mgr': 5}, {'J01': 6}, {'J01': 34}, 
550.0, {'J01': -557.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 41}, 
555.0, {'J01': -606.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 46}, 
560.0, {'J01': -571.4, 'top_mgr': 11}, {'J01': 7}, {'J01': 36}, 
565.0, {'J01': -447.0, 'top_mgr': 11}, {'J01': 4}, {'J01': 26}, 
570.0, {'J01': -370.20000000000005, 'top_mgr': 8}, {'J01': 4}, {'J01': 22}, 
575.0, {'J01': -399.6, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
580.0, {'J01': -455.6, 'top_mgr': 1}, {'J01': 4}, {'J01': 30}, 
585.0, {'J01': -378.2, 'top_mgr': 9}, {'J01': 4}, {'J01': 21}, 
590.0, {'J01': -368.6, 'top_mgr': 14}, {'J01': 4}, {'J01': 13}, 
595.0, {'J01': -398.6000000000001, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
600.0, {'J01': -416.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
605.0, {'J01': -451.20000000000005, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
610.0, {'J01': -508.20000000000005, 'top_mgr': 2}, {'J01': 4}, {'J01': 29}, 
615.0, {'J01': -563.1999999999999, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
620.0, {'J01': -551.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 39}, 
625.0, {'J01': -548.6000000000001, 'top_mgr': 8}, {'J01': 7}, {'J01': 33}, 
630.0, {'J01': -568.4000000000001, 'top_mgr': 5}, {'J01': 6}, {'J01': 31}, 
635.0, {'J01': -618.0, 'top_mgr': 1}, {'J01': 6}, {'J01': 36}, 
640.0, {'J01': -659.2, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
645.0, {'J01': -502.40000000000003, 'top_mgr': 8}, {'J01': 8}, {'J01': 34}, 
650.0, {'J01': -402.6000000000001, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
655.0, {'J01': -414.40000000000003, 'top_mgr': 5}, {'J01': 8}, {'J01': 29}, 
