590.0, {'J01': -288.6000000000001, 'top_mgr': 9}, {'J01': 8}, {'J01': 40}, 
595.0, {'J01': -236.0, 'top_mgr': 14}, {'J01': 7}, {'J01': 27}, 
600.0, {'J01': -248.79999999999998, 'top_mgr': 9}, {'J01': 8}, {'J01': 23}, 
605.0, {'J01': -219.80000000000004, 'top_mgr': 10}, {'J01': 9}, {'J01': 21}, 
610.0, {'J01': -212.6, 'top_mgr': 6}, {'J01': 7}, {'J01': 21}, 
615.0, {'J01': -231.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 25}, 
620.0, {'J01': -243.99999999999997, 'top_mgr': 6}, {'J01': 7}, {'J01': 31}, 
625.0, {'J01': -296.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
630.0, {'J01': -333.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 41}, 
635.0, {'J01': -356.00000000000006, 'top_mgr': 5}, {'J01': 10}, {'J01': 40}, 
640.0, {'J01': -371.8, 'top_mgr': 9}, {'J01': 10}, {'J01': 34}, 
645.0, {'J01': -297.8, 'top_mgr': 8}, {'J01': 8}, {'J01': 30}, 
650.0, {'J01': -315.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
655.0, {'J01': -310.6, 'top_mgr': 4}, {'J01': 9}, {'J01': 36}, 
660.0, {'J01': -296.2, 'top_mgr': 2}, {'J01': 11}, {'J01': 41}, 
665.0, {'J01': -336.40000000000003, 'top_mgr': 1}, {'J01': 12}, {'J01': 42}, 
670.0, {'J01': -338.6, 'top_mgr': 5}, {'J01': 12}, {'J01': 40}, 
675.0, {'J01': -316.6, 'top_mgr': 7}, {'J01': 11}, {'J01': 37}, 
680.0, {'J01': -313.0, 'top_mgr': 11}, {'J01': 7}, {'J01': 30}, 
685.0, {'J01': -292.4, 'top_mgr': 11}, {'J01': 5}, {'J01': 24}, 
690.0, {'J01': -291.6, 'top_mgr': 12}, {'J01': 4}, {'J01': 20}, 
695.0, {'J01': -270.0, 'top_mgr': 6}, {'J01': 3}, {'J01': 16}, 
700.0, {'J01': -253.40000000000003, 'top_mgr': 3}, {'J01': 4}, {'J01': 21}, 
705.0, {'J01': -250.20000000000002, 'top_mgr': 5}, {'J01': 7}, {'J01': 26}, 
710.0, {'J01': -218.00000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 31}, 
715.0, {'J01': -235.40000000000003, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
720.0, {'J01': -264.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
725.0, {'J01': -291.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
730.0, {'J01': -210.4, 'top_mgr': 12}, {'J01': 6}, {'J01': 23}, 
735.0, {'J01': -201.4, 'top_mgr': 7}, {'J01': 4}, {'J01': 20}, 
740.0, {'J01': -182.39999999999998, 'top_mgr': 7}, {'J01': 4}, {'J01': 18}, 
745.0, {'J01': -192.2, 'top_mgr': 1}, {'J01': 4}, {'J01': 23}, 
750.0, {'J01': -218.2, 'top_mgr': 4}, {'J01': 5}, {'J01': 22}, 
755.0, {'J01': -264.2, 'top_mgr': 4}, {'J01': 7}, {'J01': 28}, 
760.0, {'J01': -304.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 31}, 
765.0, {'J01': -253.6, 'top_mgr': 5}, {'J01': 8}, {'J01': 28}, 
